nbn_taxon_version_key_for_recommended_name,taxon_latest,alkaline_fen
NBNSYS0000003942,Anagallis tenella,TRUE
NHMSYS0000309344,Aneura pinguis,TRUE
NBNSYS0000003703,Angelica sylvestris,TRUE
NBNSYS0000002742,Aquilegia vulgaris,TRUE
NBNSYS0000036662,Aulacomnium palustre,TRUE
NBNSYS0000004168,Bartsia alpina,FALSE
NHMSYS0000456532,Blysmus compressus,TRUE
NHMSYS0000309510,Bryum pseudotriquetrum,TRUE
NHMSYS0000456750,Calamagrostis canescens,FALSE
NBNSYS0000002633,Calamagrostis scotica,FALSE
NBNSYS0000002632,Calamagrostis stricta,FALSE
NBNSYS0000036844,Calliergon cordifolium,TRUE
NBNSYS0000143447,Calliergonella cuspidata,TRUE
NBNSYS0000036845,Calliergon giganteum,TRUE
NBNSYS0000002691,Caltha palustris,TRUE
NBNSYS0000143585,Campylium protensum,TRUE
NHMSYS0021195191,Campylium stellatum,TRUE
NHMSYS0021195185,Campylium stellatum s.l.,TRUE
NBNSYS0000002457,Carex acuta,TRUE
NBNSYS0000002431,Carex acutiformis,TRUE
NHMSYS0000456829,Carex appropinquata,FALSE
NBNSYS0000002458,Carex aquatilis,FALSE
NHMSYS0000456838,Carex chordorrhiza,FALSE
NHMSYS0021128332,Carex curta,FALSE
NHMSYS0000456908,Carex demissa,FALSE
NBNSYS0000002466,Carex diandra,TRUE
NHMSYS0000456843,Carex dioica,TRUE
NBNSYS0000002413,Carex distans,TRUE
NHMSYS0000456844,Carex disticha,TRUE
NBNSYS0000002482,Carex echinata,TRUE
NBNSYS0000002456,Carex elata,FALSE
NBNSYS0000002481,Carex elongata,FALSE
NBNSYS0000002415,Carex hostiana,TRUE
NBNSYS0000002443,Carex lasiocarpa,FALSE
NHMSYS0000456906,Carex lepidocarpa,TRUE
NBNSYS0000002438,Carex limosa,FALSE
NBNSYS0000002439,Carex magellanica,FALSE
NBNSYS0000002460,Carex nigra,TRUE
NHMSYS0000456911,Carex oederi,FALSE
NBNSYS0000002467,Carex otrubae,TRUE
NBNSYS0000002436,Carex panicea,TRUE
NBNSYS0000002464,Carex paniculata,TRUE
NHMSYS0000456883,Carex pauciflora,FALSE
NBNSYS0000002425,Carex pseudocyperus,TRUE
NBNSYS0000002492,Carex pulicaris,TRUE
NBNSYS0000002430,Carex riparia,TRUE
NBNSYS0000002426,Carex rostrata,TRUE
NBNSYS0000157062,Carex simpliciuscula,FALSE
NBNSYS0000002427,Carex vesicaria,TRUE
NHMSYS0020825291,Chara hispida,TRUE
