"","x"
"1","insect - hymenopteran"
"2","lichen"
"3","diatom"
"4","reptile"
"5","amphibian"
"6","terrestrial mammal"
"7","marine mammal"
"8","insect - beetle (Coleoptera)"
"9","alga"
"10","chromist"
"11","flowering plant"
"12","fern"
"13","conifer"
"14","stonewort"
"15","foraminiferan"
"16","echinoderm"
"17","centipede"
"18","insect - true fly (Diptera)"
"19","fungus"
"20","insect - moth"
"21","entoproct"
"22","horsetail"
"23","false scorpion (Pseudoscorpiones)"
"24","flatworm (Turbellaria)"
"25","clubmoss"
"26","mollusc"
"27","sponge (Porifera)"
"28","insect - dragonfly (Odonata)"
"29","bony fish (Actinopterygii)"
"30","insect - butterfly"
"31","protozoan"
"32","insect - true bug (Hemiptera)"
"33","bird"
"34","fungoid"
"35","insect - flea (Siphonaptera)"
"36","crustacean"
"37","bacterium"
"38","acarine (Acari)"
"39","insect - caddis fly (Trichoptera)"
"40","insect - louse (Phthiraptera)"
"41","arrow worm (Chaetognatha)"
"42","waterbear (Tardigrada)"
"43","gnathostomulid"
"44","spider (Araneae)"
"45","lampshell (Brachiopoda)"
"46","priapulid"
"47","gastrotrich"
"48","coelenterate (=cnidarian)"
"49","unassigned"
"50","millipede"
"51","insect - cockroach (Dictyoptera)"
"52","insect - booklouse (Psocoptera)"
"53","annelid"
"54","springtail (Collembola)"
"55","insect - lacewing (Neuroptera)"
"56","insect - scorpion fly (Mecoptera)"
"57","bryozoan"
"58","lancelet (Cephalochordata)"
"59","tunicate (Urochordata)"
"60","cartilagenous fish (Chondrichthyes)"
"61","comb jelly (Ctenophora)"
"62","acorn worm (Hemichordata)"
"63","roundworm (Nematoda)"
"64","ribbon worm (Nemertea)"
"65","horseshoe worm (Phoronida)"
"66","peanut worm (Sipuncula)"
"67","pauropod"
"68","thorny-headed worm (Acanthocephala)"
"69","scorpion"
"70","two-tailed bristletail (Diplura)"
"71","proturan"
"72","insect - bristletail (Archaeognatha)"
"73","insect - silverfish (Thysanura)"
"74","insect - stick insect (Phasmida)"
"75","insect - orthopteran"
"76","insect - earwig (Dermaptera)"
"77","insect - mayfly (Ephemeroptera)"
"78","insect - web-spinner (Embioptera)"
"79","symphylan"
"80","rotifer"
"81","hornwort"
"82","harvestman (Opiliones)"
"83","undetermined"
"84","slime mould"
"85","moss"
"86","liverwort"
"87","insect - alderfly (Megaloptera)"
"88","hairworm (Nematomorpha)"
"89","ginkgo"
"90","mud dragon (Kinorhyncha)"
"91","insect - mantis (Mantodea)"
"92","insect - snakefly (Raphidioptera)"
"93","insect - stonefly (Plecoptera)"
"94","insect - stylops (Strepsiptera)"
"95","insect - thrips (Thysanoptera)"
"96","jawless fish (Agnatha)"
"97","loriciferan"
"98","mesozoan"
"99","monogenean"
"100","quillwort"
"101","sea spider (Pycnogonida)"
"102","tapeworm (Cestoda)"
"103","trematode"
"104","spoon worm (Echiura)"
"105","beardworm (Pogonophora)"
"106","cycliophoran"
"107","cyanobacterium"
